id,name
1,Technic
2,Arctic Technic
3,Competition
4,Expert Builder
5,Model
6,Airport
7,Construction
8,Farm
9,Fire
10,Harbor
11,Off-Road
12,Race
13,Riding Cycle
14,Robot
15,Traffic
16,RoboRiders
17,Speed Slammers
18,Star Wars
19,Supplemental
20,Throwbot Slizer
21,Universal Building Set
22,Creator
23,Basic Model
24,Airport
25,Castle
26,Construction
27,Race
28,Harbor
29,Train
30,Traffic
31,Creature
32,Robot
33,Food & Drink
34,Building
35,Cargo
36,Fire
37,Basic Set
38,Model
39,Traffic
40,Creature
41,Riding Cycle
42,Airport
43,Building
44,Recreation
45,Cargo
46,Harbor
47,Fire
48,Supplemental
49,Mecha
50,Town
51,Arctic
52,City
53,Airport
54,Cargo
55,Coast Guard
56,Construction
57,Farm
58,Fire
59,Harbor
60,Hospital
61,Police
62,Supplemental
63,Traffic
64,Off-Road
65,Arctic
66,Trains
67,Classic Town
68,Airport
69,Building
70,Cargo
71,Coast Guard
72,Construction
73,Farm
74,Fire
75,Food & Drink
76,Station
77,Harbor
78,Hospital
79,Off-Road
80,Police
81,Post Office
82,Race
83,Recreation
84,Supplemental
85,Traffic
86,Divers
87,Extreme Team
88,Launch Command
89,Outback
90,Paradisa
91,Race
92,Res-Q
93,Space Port
94,Town Jr.
95,Cargo
96,Coast Guard
97,Construction
98,Fire
99,Gas Station
100,Police
101,Race
102,Supplemental
103,Traffic
104,Town Plan
105,World City
106,Airport
107,Coast Guard
108,Fire
109,Food & Drink
110,Harbor
111,Police
112,Racers
113,Drome Racers
114,Ferrari
115,Lamborghini
116,Power Racers
117,Radio Control
118,Speed Racer
119,Supplemental
120,Tiny Turbos
121,Track System
122,Williams F1
123,World Racers
124,Supplemental
125,Xalax
126,Space
127,Alien Conquest
128,Blacktron I
129,Blacktron II
130,Classic Space
131,Exploriens
132,Futuron
133,Ice Planet 2002
134,Insectoids
135,Life On Mars
136,M:Tron
137,Mars Mission
138,RoboForce
139,Space Police I
140,Space Police II
141,Space Police III
142,Spyrius
143,Supplemental
144,UFO
145,Unitron
146,Galaxy Squad
147,Pirates
148,Pirates I
149,Imperial Armada
150,Imperial Guards
151,Imperial Soldiers
152,Islanders
153,Pirates II
154,Pirates III
155,Modular Buildings
156,Mini
157,Bricktober
158,Star Wars
159,Mini
160,Star Wars Clone Wars
161,Star Wars Episode 2
162,Star Wars Episode 3
163,Star Wars Episode 4/5/6
164,Star Wars Episode 1
165,Star Wars Clone Wars
166,Star Wars Episode 1
167,Star Wars Episode 2
168,Star Wars Episode 3
169,Star Wars Episode 4/5/6
170,Star Wars Other
171,Ultimate Collector Series
172,Star Wars Episode 1
173,Star Wars Episode 3
174,Star Wars Episode 4/5/6
175,Star Wars Episode 2
176,Planet Series 1
177,Planet Series 2
178,Minifig Pack
179,Planet Series 3
180,Planet Series 4
181,Star Wars Episode 4/5/6
182,Star Wars Rebels
183,Star Wars Expanded Universe
184,Star Wars Episode 7
185,Star Wars Rogue One
186,Castle
187,Black Falcons
188,Black Knights
189,Classic Castle
190,Crusaders
191,Dark Forest
192,Dragon Knights
193,Fantasy Era
194,Forestmen
195,Fright Knights
